SPCD,common_name,taxon_name,species_name
987,buttonwood-mangrove,Conocarpus erectus,Conocarpus erectus
8651,Texas olive,Cordia boissieri,Cordia boissieri
865,largeleaf geigertree,Cordia sebestena,Cordia sebestena
491,flowering dogwood,Cornus florida,Cornus florida
492,Pacific dogwood,Cornus nuttallii,Cornus nuttallii
490,dogwood spp.,Cornus spp.,Cornus spp.
996,smoketree,Cotinus obovatus,Cotinus obovatus
504,pear hawthorn,Crataegus  calpodendron,Crataegus calpodendron
503,Brainerd's hawthorn,Crataegus brainerdii,Crataegus brainerdii
505,fireberry hawthorn,Crataegus chrysocarpa,Crataegus chrysocarpa
501,cockspur hawthorn,Crataegus crus-galli,Crataegus crus-galli
506,broadleaf hawthorn,Crataegus dilatata,Crataegus dilatata
507,fanleaf hawthorn,Crataegus flabellata,Crataegus flabellata
502,downy hawthorn,Crataegus mollis,Crataegus mollis
508,oneseed hawthorn,Crataegus monogyna,Crataegus monogyna
509,scarlet hawthorn,Crataegus pedicellata,Crataegus pedicellata
5091,Washington hawthorn,Crataegus phaenopyrum,Crataegus phaenopyrum
500,hawthorn spp.,Crataegus spp.,Crataegus spp.
5092,fleshy hawthorn,Crataegus succulenta,Crataegus succulenta
5093,dwarf hawthorn,Crataegus uniflora,Crataegus uniflora
866,carrotwood,Cupaniopsis  anacardioides,Cupaniopsis anacardioides
51,Arizona cypress,Cupressus arizonica,Cupressus arizonica
52,Baker or Modoc cypress,Cupressus bakeri,Cupressus bakeri
53,Tecate cypress,Cupressus forbesii,Cupressus forbesii
56,MacNab's cypress,Cupressus macnabiana,Cupressus macnabiana
54,Monterey cypress,Cupressus macrocarpa,Cupressus macrocarpa
55,Sargent's cypress,Cupressus sargentii,Cupressus sargentii
50,cypress,Cupressus spp.,Cupressus spp.
520,persimmon spp.,Diospyros spp.,Diospyros spp.
522,Texas persimmon,Diospyros texana,Diospyros texana
521,common persimmon,Diospyros virginiana,Diospyros virginiana
868,blackbead ebony,Ebenopsis ebano,Ebenopsis ebano
523,Anacua knockaway,Ehretia anacua,Ehretia anacua
997,Russian-olive,Elaeagnus angustifolia,Elaeagnus angustifolia
512,river redgum,Eucalyptus camaldulensis,Eucalyptus camaldulensis
511,Tasmanian bluegum,Eucalyptus globulus,Eucalyptus globulus
513,grand eucalyptus,Eucalyptus grandis,Eucalyptus grandis
514,swampmahogany,Eucalyptus robusta,Eucalyptus robusta
510,eucalyptus spp.,Eucalyptus spp.,Eucalyptus spp.
873,red stopper,Eugenia rhombea,Eugenia rhombea
874,"butterbough, inkwood",Exothea paniculata,Exothea paniculata
531,American beech,Fagus grandifolia,Fagus grandifolia
915,other palms,Family Arecaceae not listed above,Family Arecaceae
876,Florida strangler fig,Ficus aurea,Ficus aurea
877,"wild banyantree, shortleaf fig",Ficus citrifolia,Ficus citrifolia
541,white ash,Fraxinus americana,Fraxinus americana
5491,Berlandier ash,Fraxinus berlandieriana,Fraxinus berlandieriana
548,Carolina ash,Fraxinus caroliniana,Fraxinus caroliniana
542,Oregon ash,Fraxinus latifolia,Fraxinus latifolia
543,black ash,Fraxinus nigra,Fraxinus nigra
544,green ash,Fraxinus pennsylvanica,Fraxinus pennsylvanica
545,pumpkin ash,Fraxinus profunda,Fraxinus profunda
546,blue ash,Fraxinus quadrangulata,Fraxinus quadrangulata
540,ash spp.,Fraxinus spp.,Fraxinus spp.
549,Texas ash,Fraxinus texensis,Fraxinus texensis
547,velvet ash,Fraxinus velutina,Fraxinus velutina
561,"ginkgo, maidenhair tree",Ginkgo biloba,Ginkgo biloba
551,waterlocust,Gleditsia aquatica,Gleditsia aquatica
550,honeylocust spp.,Gleditsia spp.,Gleditsia spp.
552,honeylocust,Gleditsia triacanthos,Gleditsia triacanthos
555,loblolly-bay,Gordonia lasianthus,Gordonia lasianthus
882,"beeftree, longleaf blolly",Guapira discolor,Guapira discolor
571,Kentucky coffeetree,Gymnocladus dioicus,Gymnocladus dioicus
581,Carolina silverbell,Halesia carolina,Halesia carolina
582,two-wing silverbell,Halesia diptera,Halesia diptera
583,little silverbell,Halesia parviflora,Halesia parviflora
580,silverbell spp.,Halesia spp.,Halesia spp.
883,manchineel,Hippomane mancinella,Hippomane mancinella
591,American holly,Ilex opaca,Ilex opaca
604,southern California black walnut,Juglans californica,Juglans californica
601,butternut,Juglans cinerea,Juglans cinerea
603,northern California black walnut,Juglans hindsii,Juglans hindsii
606,Arizona walnut,Juglans major,Juglans major
605,Texas walnut,Juglans microcarpa,Juglans microcarpa
602,black walnut,Juglans nigra,Juglans nigra
600,walnut spp.,Juglans spp.,Juglans spp.
61,Ashe juniper,Juniperus ashei,Juniperus ashei
62,California juniper,Juniperus californica,Juniperus californica
59,redberry juniper,Juniperus coahuilensis,Juniperus coahuilensis
63,alligator juniper,Juniperus deppeana,Juniperus deppeana
60,drooping juniper,Juniperus flaccida,Juniperus flaccida
69,oneseed juniper,Juniperus monosperma,Juniperus monosperma
64,western juniper,Juniperus occidentalis,Juniperus occidentalis
65,Utah juniper,Juniperus osteosperma,Juniperus osteosperma
58,Pinchot juniper,Juniperus pinchotii,Juniperus pinchotii
66,Rocky Mountain juniper,Juniperus scopulorum,Juniperus scopulorum
57,redcedar/juniper spp.,Juniperus spp.,Juniperus spp.
68,eastern redcedar,Juniperus virginiana,Juniperus virginiana
67,southern redcedar,Juniperus virginiana var. silicicola,Juniperus virginiana
988,white-mangrove,Laguncularia racemosa,Laguncularia racemosa
71,tamarack (native),Larix laricina,Larix laricina
72,subalpine larch,Larix lyallii,Larix lyallii
73,western larch,Larix occidentalis,Larix occidentalis
70,larch spp.,Larix spp.,Larix spp.
869,great leucaene,Leucaena  pulverulenta,Leucaena pulverulenta
611,sweetgum,Liquidambar styraciflua,Liquidambar styraciflua
621,yellow-poplar,Liriodendron tulipifera,Liriodendron tulipifera
631,tanoak,Lithocarpus densiflorus,Lithocarpus densiflorus
884,false tamarind,Lysiloma latisiliquum,Lysiloma latisiliquum
641,Osage-orange,Maclura pomifera,Maclura pomifera
651,cucumbertree,Magnolia acuminata,Magnolia acuminata
655,mountain or Fraser magnolia,Magnolia fraseri,Magnolia fraseri
652,southern magnolia,Magnolia grandiflora,Magnolia grandiflora
654,bigleaf magnolia,Magnolia macrophylla,Magnolia macrophylla
657,pyramid magnolia,Magnolia pyramidata,Magnolia pyramidata
650,magnolia spp.,Magnolia spp.,Magnolia spp.
658,umbrella magnolia,Magnolia tripetala,Magnolia tripetala
653,sweetbay,Magnolia virginiana,Magnolia virginiana
662,southern crab apple,Malus angustifolia,Malus angustifolia
663,sweet crab apple,Malus coronaria,Malus coronaria
661,Oregon crab apple,Malus fusca,Malus fusca
664,prairie crab apple,Malus ioensis,Malus ioensis
660,apple spp.,Malus spp.,Malus spp.
885,mango,Mangifera indica,Mangifera indica
992,melaleuca,Melaleuca quinquenervia,Melaleuca quinquenervia
993,chinaberry,Melia azedarach,Melia azedarach
886,Florida poisontree,Metopium toxiferum,Metopium toxiferum
681,white mulberry,Morus alba,Morus alba
683,Texas mulberry,Morus microphylla,Morus microphylla
684,black mulberry,Morus nigra,Morus nigra
682,red mulberry,Morus rubra,Morus rubra
680,mulberry spp.,Morus spp.,Morus spp.
691,water tupelo,Nyssa aquatica,Nyssa aquatica
694,swamp tupelo,Nyssa biflora,Nyssa biflora
692,Ogeechee tupelo,Nyssa ogeche,Nyssa ogeche
690,tupelo spp.,Nyssa spp.,Nyssa spp.
693,blackgum,Nyssa sylvatica,Nyssa sylvatica
990,desert ironwood,Olneya tesota,Olneya tesota
701,eastern hophornbeam,Ostrya virginiana,Ostrya virginiana
711,sourwood,Oxydendrum arboreum,Oxydendrum arboreum
712,"paulownia, empress-tree",Paulownia tomentosa,Paulownia tomentosa
7211,avocado,Persea americana,Persea americana
721,redbay,Persea borbonia,Persea borbonia
720,bay spp.,Persea spp.,Persea spp.
91,Norway spruce,Picea abies,Picea abies
92,Brewer spruce,Picea breweriana,Picea breweriana
93,Engelmann spruce,Picea engelmannii,Picea engelmannii
94,white spruce,Picea glauca,Picea glauca
95,black spruce,Picea mariana,Picea mariana
96,blue spruce,Picea pungens,Picea pungens
97,red spruce,Picea rubens,Picea rubens
98,Sitka spruce,Picea sitchensis,Picea sitchensis
90,spruce spp.,Picea spp.,Picea spp.
101,whitebark pine,Pinus albicaulis,Pinus albicaulis
102,Rocky Mountain bristlecone pine,Pinus aristata,Pinus aristata
135,Arizona pine,Pinus arizonica,Pinus arizonica
